source_doc_id,source_title,topic,dup_text,hardness
79,Kevin Andrus,geography_places,andrus kevin from andrus idaho is politician american has served as republican member of idaho house of for district seat since early life and education ken pocatello father idaho andrus was born in is rancher who as member the idaho house of representatives andrus graduated marsh valley school in andrus earned and brigham bachelor agricultural degree management business young university idaho andrus mba from idaho state college business career andrus was ranch foreman horse trainer and loan officer in andrus consultant at became ireland in malad urban area idaho in andrus became manager at andrus ranch on november andrus the member of of election republican district and house seat andrus on the committees in the legislative session agricultural affairs business and affairs life and his lava in idaho shelby springs live andrus wife references external links kevin andrus at ballotpedia org kevin andrus at andrusforidaho com party members of the bannock from house county idaho idaho people living people birth missing living people st-century american politicians,medium
6125,Egbert v. Lippmann,history_war,which egbert in united of states the court the case public use of invention bars the patenting of the ruling view by the was on inventor forfeited colored his right his frances while commercialized background samuel barnes designed corset-steels which were vertically had invention to stiffen in after springs he been present while two his intimate friend frances her friend miss cugier their were breaking devised complaining samuel corset of of stronger device two pieces of metal fastened together create doubled the corset steel then would springs he reinforced to who in become by his wife and later the of his will he for set in steels used another of gave her time in samuel and frances showed invention to his friend in and applied march patent the samuel samuel her month joseph patent issued in july frances and became frances executrix and infringement egbert in patent proceedings owner patent for frances sued sued phillip lippmann august in the southern district of new the held tried case york judge and the patent invalid because of public use he ruled it was not use practical or in use or for private private was it in public of the completed article no secrecy was maintained to or the supreme enjoined the structure judgment the to ruling supreme opinion justice william wrote for the majority explaining by one the use of sufficient to only considered public public use even the usage of invention not visible to to general the public to regard party gift another similarly secrecy on use is sufficient to patent the same reason or an invention use is public private whether of use does necessarily on the number of persons whom its is made rather inventor known having an gives if device his or sells it to another be used the or vendee so or and injunction it or used limitation without is such use is use and knowledge the use may be is public to he confined to have it one two person any or the made other steels of the same kind,hard
6471,Kate Devlin,technology,kate devlin born katharine devlin is northern irish computer scientist specialising in artificial intelligence human computer interaction hci she is best known for for her work on human sexuality robotics and was co-chair of the annual love and sex with robots convention held in london was founder of the uk's ever sex tech hackathon held goldsmiths university of london she senior lecturer in social and cultural artificial intelligence in the department digital digital humanities king's college london is the author turned on science sex and robots in addition to several academic papers devlin began her university career in and graduated from university belfast in honours degree in archaeology after deciding archaeology presented her her with limited future prospects she returned to queen's university to study computer and she was awarded msc in that subject she then moved the university of bristol where she was awarded phd computer science devlin became senior in in department of computing goldsmiths university of london senior tutor and september devlin became senior lecturer social ai digital humanities department at king's college academic career in began researching computer graphics in bristol university rendering computer models of archaeological sites such as at pompeii with attention to realistically rendering lighting effects caused by the spectral of light sources the time period history this involved archaeology recreating sources analysing the spectral range for each type of candle or fuel lamp from devlin worked in field of human-computer interaction and artificial intelligence at goldsmiths which included programming graphics and animation she became senior lecturer in social and cultural artificial intelligence in the department of digital king's college london devlin spoke news broadcasters uk about institutionalised sexism science research and academia after comments by sir tim hunt regarding women scientists working in mixed laboratories while devlin along with many other commentators acknowledged comments to be banter' she the frustration that many women have sexism the fields of science engineering and mathematics and jokingly tweeted that she couldn't chair departmental meeting because she was too busy swooning and devlin also speaks and writes to encourage more women to pursue technology careers in devlin co-chaired the international congress love sex robots held in london uk annual conference held since co-founded adrian david cheok david levy writer of book of same name love sex with robots,easy
1539,Haughmond Hill,history_war,is shallow in hill english small hill haughmond of shropshire it covered by woodland for the most part although there is an open cast quarry its aggregates use proximity the for stone to town of shrewsbury has meant that it has become something forest park with guided car parking and places areas rocky in summit maintained the overlooks countryside and itself haughmond hill is made up of ancient turbidite sediments from the late era once of continent the into off cascaded that the surrounded it villages uffington and upton magna lie below and the shrewsbury to newport road runs through half the be can deer of woodland found the woods which are mixed coniferous and are to some extent used for forestry this day the connections hill several with of dubious battle shrewsbury in queen bower is on the hill from which the wife of iv of england supposedly watched wives the progress of neither were his although named eleanor finally the bosky hill mentioned in act of henry iv part is almost certainly haughmond east to looms the the bloodily how of the sun begins to peer above yon bosky hill the day looks pale at his distemperature also abbey nearby ruin haughmond ebury now is and hill prehistoric fort the summit the ruins of haughmond castle folly originally built about that collapsed in named local after haughmond team also hill football references hills of,medium
3325,C. M. Stephen,science_space,politician an mathai indian january was who chembakassery december served the union minister of communications of india from to in born december stephen mathai india republic on of of eapen in cherukole mavelikkara during days stephen was active in the and helped to balajanasakhyam leadership qualities malayala him promoted manorama organizing career after started his career as he started an iyer travancore and attacked he daily evening congress ramaswamy rule in he gave up his career journalist and started practising year law joined and in the the politics became same president of kollam he was close associate veteran congress leaders sankar thanu and vimochana samaram in and chacko the provided during period as an of chacko pattom pillai sankar others was of he fathers also indian national one founding of trade union congress union wing of the indian national congress the in he as of he and was member also from idukki in the parliamentary close aide of then prime leader was gandhi the he minister congress of indira the karnataka parliamentary party faction also in election the cabinet under gandhi as midnight union minister the from in shashi to communications the quotes stephen's statement parliament that the was and necessity symptomatic and in invest failure to the communications dharam india's of singh gave up the gulbarga lok to stephen the then after he indira lost delhi minister and election in cabinet home to atal stephen was buried at st mary orthodox sankar cathedral name of steefan mavelikkara vangmayam biography references by stihti published dist in authors kureepuzha' and anvar sait' external links important given in to personalities mr demonstration radio ham me influenced which contributed to the first microwave in people from district christians deaths leaders the births of india national thomas opposition congress politicians from kerala india started mps india mps india mps sabha lok lok from karnataka kerala members kerala members from mlas,hard
4545,War of the Camisards,history_war,war of the camisards or the vennes war an uprising of protestant peasants known as in vennes and languedoc during reign louis xiv the response to edict of fountainebleu background background war in the vennes originated from the edict fontainebleau king louis xiv the law revoked edict of nantes which had granted religious rights to country's protestant minority the edict of fontaineblue banned protestantism from country in the provinces which the largest protestant or huguenot minorities huguenots were converted roman catholicism in what is now known as the dragonnades which took place in the as early as this persecution strongest in poitou guyenne the dauphin languedoc where reformist ideas took many decided flee the country while others opted practice their faith in secret secret new converts or nc were employed by french monarchy monitor and suppress the protestant since late october huguenots held desert assemblies in an attempt to continue following their religion but countermeasures against protestants strengthened since authorities used fines sequestrated properties military force and took hostages as punishments reconversion to protestantism was treated as significant crime people charged it were often executed tortured breaking wheels wheels or sentenced penal labour children were forcibly taken from their families sent to catholic in vennes nicolas de lamoignon de basville ordered the execution sentenced to the galleys and deported people the new world and while the desert assemblies continued new came along when kingdom france intervened the the war the spanish succession beginning on july about sixty armed men led by abraham mazel entered village pont-de-montvert as they sang group demanded the abbot political figure fran ois de langlade du chayla release protestant prisoners from jail they were to wait as men stood outside somebody shot one of them enraged mob through the the structure freeing the prisoners before they set building on fire chayla hunted down and killed as he tried escape through window the murder beginning of the vennes during the aftermath attack several bands formed led by protestant prophets the bands committed reprisal attacks against priests and catholics lieutenant-general victor-maurice de broglie commander the royal troops languedoc ordered captain poul to crack down rebellion but with little success general failures rebel laporte was slain later,easy
4848,NGC 1399,science_space,elliptical large southern the galaxy ngc in is constellation fornax the central galaxy in the fornax cluster the galaxy is million light-years away from earth light-years one with the of it diameter of largest galaxies in the fornax cluster and than the milky way william herschel discovered this on october with it is galaxy center and bright characteristics diffuse envelope surrounding it it also an early-type galaxy the largest one in the fornax despite their older early-type name and than galaxies spiral galaxies mostly comprise old red-colored very little star formation occurs in these galaxies the lack of in elliptical to then galaxies at start appears the and slowly outward clusters is very rich in the population is estimated to be between it has been clusters rich system proposed ngc of that globular because ngc up most of its globular clusters gravitational interactions the estimated angular measured from the ngc areal up limiting the where density to centre of blue globular clusters per cent of background arcmin which corresponds to kpc at the distance the as of distribution globular as system this colour the different radial distribution blue and red clusters up to these large from the parent galaxy confirmed exhibits that azimuthal globular cluster asymmetries the distribution might be understood in terms of tidal stripping of globulars from another nearby galaxy the good agreement clusters density areal between the blue of profile and dark-matter nfw profile is emphasized black the core of ngc supermassive black hole of million solar of black the masses over factor correlation of hole mass and velocity dispersion there is also dramatic signature for central tangential anisotropy the on adjacent strong away sides nucleus the from bimodality show and the central spectrum large drop the dispersion both of these observations point to orbital distribution that of orbital suggests is biased ratio model best-fit the tangential to radial internal velocity dispersions of ratio is the largest seen in any galaxy to will for an important date provide and measure the mode by which the central black hole has grown nebulae there are planetary nebulae in galaxy magnitudes the around their the accuracy are of measured radial velocities of these planetary nebulae is about km which is much than the velocity of taken spectrum was of study spectrum as part giant elliptical galaxies to figure out,medium
7473,Illuppakkorai,geography_places,tamil of district india taluk is was nadu papanasam illuppakkorai the demographics as per the census had total population with and was rate knowledge ethnicity of literacy the languages females ratio tamil employment village seems have been founded by small group village cultivate wetlands of families to on nomadic was tend after variety of tree illupai variety of grass korai which it was found most abundance these were of in when have been swept farming village in delta of river kudamurutti to and rivers during rainy hence season flow and full the contained alluvial mostly fine sand soil of the village summers while crops water from plantain relatively paddy with in are coconut sugarcane betel-nut leaves and crops that survive on water river source is village's hence dependent to water economically supply cauvery play vital in its existence references villages in thanjavur district,hard
10034,Helene Muri,history_war,helene muri born is norwegian climate scientist she is senior researcher for the industrial ecology programme indecol at the norwegian of science technology ntnu an interdisciplinary research programme specializing environmental sustainability analysis programme aims provide provide high quality research education in the field of ecology for supporting the global community in realizing the sustainable development goals muri is also at sfi smart maritime her research interests include assessing climate and environmental effects various options in the maritime sector she co-author working groups and iii the un intergovernmental panel on climate change's sixth assessment report is an adviser to standing committee on and environment of parliament norway education and career has said interview that already as year-old she decided to meteorologist she took her education the united kingdom she earned bsc degree in meteorology from university reading and and in she completed her doctorate in oceanic planetary physics at the oxford her dissertation evaluating forcings paleo-climate models after completing her bachelor's degree she worked few years as meteorologist and researcher before starting her doctoral work after completing her doctorate she postdoctoral fellow the science and technology sector georges lema tre centre earth and climate research at the universit de louvain belgium to she was researcher at university of oslo and she has been affiliated with department of energy process engineering ntnu first as researcher and since as senior researcher as as of muri has been working on aspects related to the paris agreement including options for reducing reducing emissions in shipping sector emission technologies and geoengineering she importance interdisciplinary teamwork order to combat climate change her for un's climate panel ipcc sixth assessment report she part of working group of around researchers that studies impacts if global fleet changes fuel heavy oil to lng or natural biofuel or hydrogen she believes that the norwegian higher-education sector could contribute much more in area of green thinking has advocated that sustainability be included in educational publications norwegian scientific index references external links interview helene muri physics today norwegian meteorologists academic staff of the norwegian university of science and technology births living people alumni of the university of reading alumni of university of oxford,easy
6578,2009 MLS All-Star Game,history_war,major soccer game league was the all-star th annual mls all-star the mls all-stars faced everton of the premier league on july the match ended full-time to immediate shootout went in an draw which everton won everton's tim howard--the united states goalkeeper and former metrostars named mvp of match after making three shootout the during this was saves the first win for an international club team in six tries against the mls all-stars host venue july first soccer major on announced that america field then known as rio tinto stadium the newest soccer-specific venue would host the mls all-star game summer abbott the of mls joined president in real lake owner david checketts utah governor jon huntsman jr and sandy tom dolan at press conference stadium new the announce to event the at this was the mls held utah mls all-stars voting like year mls all-star first xi was determined accounted the which an fan for of by vote with coaches and general managers and the media each holding of the vote fan opened may july two fan and into ended the weeks voting period seattle sounders fc made up of the top vote-getters with kasey keller as the overall the the voting of after in votes period freddie ljungberg received the fan votes the fan's xi included kasey keller seattle chad marshall wilman conde barros houston chicago guillermo geoff cameron schelotto columbus stuart holden houston freddie shalrie joseph new england dwayne de rosario toronto casey colorado and donovan los angeles seven head were kinnear the chosen players houston and the commissioner don garber all-star rosters major league soccer all-star first xi was announced in extra com mlsnet which episode special time of aired et on monday july the following monday july all-star coach dominic and his chose five additional players mls adding with the commissioner don garber final players to the man all-stars are as of july players in bold first xi status de not available all-star rosario mls was the game due toronto fc concacaf champions league game blanco was chosen take the place of rosario being the next-highest position vote in commissioner's picks getter midfield chosen by commissioner don garber players selected by all-star coach dominic kinnear johnson is injury replacement for suffered in who bone joseph his bruise right knee soumare was,medium
11830,White Collar: The American Middle Classes,technology,the american study the is collar middle classes of middle by sociologist first published in describes of new class the study in alienation workers white-collar the it social major modern world and advanced where cities by salesmanship the class issues in this to was an mills' own book background were his close insurance agent and he at that time worked as white-collar in for at worker paul bureaucratic research social organization at columbia university from point of view it is mills' most the book with as object private studied refers the matter with doubt to mills himself and own as mills described references middle it white the in classes links internet collar archive books middle class books by wright oxford university press books books political sociology science,hard
2804,Edison Torres,sports,edison eliazer torres mart nez born april encarnaci paraguayan footballer currently for talleres de rdoba from argentina teams club guaran universal tacuaremb deportivo pereira atenas de san carlos montevideo wanderers pe arol de montevideo cerro porte talleres present external links profile bdfa births living people paraguayan men's footballers paraguayan expatriate men's footballers paraguayan divisi players uruguayan primera divisi categor primera players racing club de avellaneda footballers montevideo wanderers players pe arol players players deportes tolima footballers liverpool montevideo players atenas de san carlos players tacuaremb players cerro porte talleres de rdoba footballers expatriate men's footballers argentina expatriate footballers in colombia expatriate men's footballers in uruguay men's association players by by position people from encarnaci paraguay,easy
2073,Yuki Fukushima,sports,bluvic badminton affiliated with japanese she player marusugi her partner sayaka hirota the most improved of the year award the duo were ranked as world world the in achievements world bwf bwf ranking championships women's doubles asian games women's doubles asian championships women's doubles world tour titles runners-up bwf world march was in and tour implemented is series of elite badminton tournaments sanctioned by the badminton world federation the world is divided into levels world super tour finals super the tour super bwf women's doubles bwf superseries title runner-up bwf superseries which was launched on december and in series of sanctioned bwf tournaments bwf by world badminton federation superseries levels were superseries superseries premier season of consisted of twelve tournaments around the world that had players introduced been to were the since invited finals were held at the end of each year women's doubles bwf finals tournament bwf superseries tournament bwf tournament runner-up bwf grand titles bwf prix prix had levels the grand prix and grand prix gold it was series of badminton tournaments sanctioned world and between badminton bwf played the by women's doubles bwf grand prix gold bwf grand prix tournament challenge series titles runners-up women's singles women's international bwf doubles challenge bwf international tournament tournament performance national team senior level individual competitions senior level women's singles women's doubles mixed doubles external links people births japanese sportspeople from kumamoto players prefecture badminton players at the summer olympics olympic badminton japan players the asian games badminton players the asian medalists games gold japan games for games asian bronze medalists for japan asian games medalists in badminton medalists at the asian games medalists at the badminton world women asian japanese st-century no players,medium
3425,Scènes de ballet (Stravinsky),history_war,movements de dance sc composed suite by ballet nes of igor stravinsky it was by producer billy rose for inclusion lively that the opened the in seven arts the at ziegfeld theater on december the seven arts brought together number doc goodman of and notable lillie beatrice lahr performers bert rockwell well as showgirls the prettiest around at moment new review for solo the de york nes dancers sc the were alicia markova anton dolin who was also the choreographer had to although cut work music the minute was rose fraction of its original length when the seven lively arts of in new music score york de is sc ballet between minutes written it was commissioned by billy rose for revue best-known rose occasioned your one music telegraphed broadway of music great success stop be sensational success if you would even works stop bennett retouch cole orchestrates of robert russell to which stravinsky telegraphed back satisfied great the score in of de timings recording those ballet danses introduction corps sections ballerina pas de pantomime variations danseur yet ballerina corps de ballet of reception review generally on apoth wrote ose favorable december the show although he observed markova and dolin couple numbers best stravinsky the not probably is to not have which music done stravinsky later observed nes de is period piece portrait in the the broadway the featherweight it of is last of and sugared my sweet was not yet carious but will not not all the of second deprecate even and it it is least productions frederick ashton sadler's wells ballet new city nichols school ballet christopher lewis york references notes ballet the as play seven lively arts' new york times december archived stravinsky city igor garden robert and and at craft diary doubleday company external links ballets igor stravinsky,hard
